Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Day,Day name,Month,Month name,Year,Age Group
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,24,Friday,11,November,2023,Middle
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,27,Monday,2,February,2023,Young
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,13,Friday,1,January,2023,Senior
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,21,Sunday,5,May,2023,Middle
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,6,Saturday,5,May,2023,Young
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,25,Tuesday,4,April,2023,Middle
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,13,Monday,3,March,2023,Senior
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,22,Wednesday,2,February,2023,Young
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,13,Wednesday,12,December,2023,Senior
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,7,Saturday,10,October,2023,Senior
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,14,Tuesday,2,February,2023,Young
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,30,Monday,10,October,2023,Middle
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,5,Saturday,8,August,2023,Young
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,17,Tuesday,1,January,2023,Senior
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,16,Monday,1,January,2023,Middle
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,17,Friday,2,February,2023,Young
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,22,Saturday,4,April,2023,Young
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,30,Sunday,4,April,2023,Senior
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,16,Saturday,9,September,2023,Senior
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,5,Sunday,11,November,2023,Young
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,14,Saturday,1,January,2023,Senior
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,15,Sunday,10,October,2023,Young
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,12,Wednesday,4,April,2023,Middle
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,29,Wednesday,11,November,2023,Senior
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,26,Tuesday,12,December,2023,Senior
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,7,Saturday,10,October,2023,Young
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,3,Thursday,8,August,2023,Middle
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,23,Sunday,4,April,2023,Middle
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,18,Friday,8,August,2023,Middle
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,29,Sunday,10,October,2023,Middle
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,23,Tuesday,5,May,2023,Middle
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,4,Wednesday,1,January,2023,Young
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,23,Thursday,3,March,2023,Senior
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,24,Sunday,12,December,2023,Senior
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,5,Saturday,8,August,2023,Senior
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,24,Saturday,6,June,2023,Senior
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,23,Tuesday,5,May,2023,Young
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,21,Tuesday,3,March,2023,Middle
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,21,Friday,4,April,2023,Young
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,22,Thursday,6,June,2023,Middle
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,22,Wednesday,2,February,2023,Middle
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,17,Friday,2,February,2023,Young
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,14,Friday,7,July,2023,Senior
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,19,Sunday,2,February,2023,Young
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,3,Monday,7,July,2023,Senior
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,26,Monday,6,June,2023,Young
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,6,Monday,11,November,2023,Middle
48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,16,Tuesday,5,May,2023,Senior
49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,23,Monday,1,January,2023,Senior
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,24,Thursday,8,August,2023,Young
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,2,Monday,10,October,2023,Young
52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,5,Sunday,3,March,2023,Middle
53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,13,Thursday,7,July,2023,Middle
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,10,Friday,2,February,2023,Middle
55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,10,Tuesday,10,October,2023,Middle
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,31,Wednesday,5,May,2023,Young
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,18,Saturday,11,November,2023,Senior
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,13,Monday,11,November,2023,Young
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,5,Wednesday,7,July,2023,Senior
60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,23,Monday,10,October,2023,Young
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,9,Sunday,4,April,2023,Young
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,27,Wednesday,12,December,2023,Young
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,5,Sunday,2,February,2023,Senior
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,24,Tuesday,1,January,2023,Senior
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,5,Tuesday,12,December,2023,Senior
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,27,Thursday,4,April,2023,Middle
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,29,Monday,5,May,2023,Senior
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,10,Friday,2,February,2023,Young
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,30,Sunday,4,April,2023,Senior
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,21,Tuesday,2,February,2023,Middle
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,14,Friday,7,July,2023,Senior
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,23,Tuesday,5,May,2023,Young
73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,21,Monday,8,August,2023,Young
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,22,Wednesday,11,November,2023,Young
75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,6,Thursday,7,July,2023,Senior
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,25,Saturday,3,March,2023,Young
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,9,Sunday,7,July,2023,Senior
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,1,Saturday,7,July,2023,Senior
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,18,Tuesday,4,April,2023,Middle
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,10,Sunday,12,December,2023,Senior
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,17,Wednesday,5,May,2023,Middle
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,26,Tuesday,12,December,2023,Middle
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,16,Saturday,12,December,2023,Senior
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,28,Tuesday,11,November,2023,Middle
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,6,Monday,2,February,2023,Middle
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,8,Wednesday,11,November,2023,Young
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,22,Wednesday,11,November,2023,Young
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,29,Wednesday,3,March,2023,Senior
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,1,Sunday,10,October,2023,Senior
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,6,Saturday,5,May,2023,Senior
91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,25,Saturday,3,March,2023,Senior
92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,25,Friday,8,August,2023,Senior
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,14,Friday,7,July,2023,Middle
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,19,Friday,5,May,2023,Senior
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,24,Friday,11,November,2023,Middle
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,19,Tuesday,12,December,2023,Middle
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,13,Friday,10,October,2023,Senior
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,23,Sunday,4,April,2023,Senior
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,17,Sunday,12,December,2023,Senior
100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,16,Friday,6,June,2023,Middle
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,29,Sunday,1,January,2023,Middle
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,28,Friday,4,April,2023,Senior
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,17,Tuesday,1,January,2023,Senior
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,11,Sunday,6,June,2023,Middle
